product_id,category,unit_price
376,electronics,227.96
377,beauty,126.95
378,clothing,485.12
379,toys,432.59
380,electronics,329.17
381,home,207.21
382,books,259.7
383,home,313.08
384,electronics,102.58
385,grocery,463.91
386,home,440.54
387,home,61.59
388,books,355.18
389,sports,275.87
390,toys,47.51
391,clothing,231.26
392,clothing,324.21
393,grocery,249.69
394,sports,254.93
395,sports,208.33
396,home,490.14
397,books,228.94
398,grocery,192.41
399,grocery,432.15
400,sports,386.56
401,toys,170.6
402,sports,410.45
403,sports,363.3
404,home,432.77
405,home,269.75
406,beauty,166.89
407,toys,228.22
408,beauty,434.93
409,books,286.33
410,books,428.15
411,toys,22.78
412,home,352.91
413,toys,193.65
414,grocery,248.17
415,electronics,64.0
416,beauty,434.98
417,home,50.76
418,home,8.66
419,grocery,205.58
420,grocery,38.34
421,sports,169.94
422,toys,325.27
423,beauty,426.32
424,toys,477.12
425,home,436.32
426,electronics,309.11
427,books,315.95
428,sports,498.72
429,clothing,217.55
430,clothing,380.42
431,clothing,222.4
432,sports,451.81
433,electronics,162.86
434,electronics,147.39
435,beauty,215.91
436,books,266.05
437,grocery,85.82
438,clothing,305.14
439,toys,310.24
440,books,249.34
441,grocery,116.86
442,sports,230.33
443,electronics,449.56
444,home,450.7
445,grocery,37.86
446,beauty,493.84
447,sports,319.83
448,toys,345.47
449,home,422.81
450,books,499.69
451,home,54.22
452,toys,286.39
453,sports,496.35
454,sports,11.95
455,toys,137.97
456,electronics,455.4
457,home,416.59
458,sports,388.09
459,books,303.93
460,beauty,110.28
461,books,310.82
462,grocery,314.5
463,electronics,155.16
464,home,17.65
465,beauty,366.45
466,clothing,454.9
467,beauty,373.99
468,grocery,101.2
469,beauty,265.9
470,sports,415.41
471,sports,457.11
472,home,483.72
473,sports,373.53
474,beauty,402.31
475,home,481.48
476,grocery,377.32
477,books,430.21
478,toys,483.67
479,beauty,46.06
480,toys,7.95
481,clothing,227.94
482,sports,292.7
483,beauty,55.06
484,books,236.27
485,beauty,457.71
486,books,324.18
487,home,454.78
488,sports,324.97
489,clothing,70.75
490,electronics,152.88
491,home,58.94
492,books,443.74
493,grocery,194.93
494,beauty,335.57
495,toys,294.08
496,grocery,442.82
497,clothing,417.01
498,toys,469.59
499,sports,17.33
500,beauty,109.42
